"filename", "language", "JSON", "JavaScript", "vue", "Python", "comment", "blank", "total"
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\__init__.py", "Python", 0, 0, 0, 1, 0, -1, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\__init__.py", "Python", 0, 0, 0, 2, 0, 0, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\positionQuerys.py", "Python", 0, 0, 0, 43, 2, 5, 50
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\projectQuerys.py", "Python", 0, 0, 0, 43, 2, 4, 49
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\urls.py", "Python", 0, 0, 0, 4, 0, 0, 4
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\__init__.py", "Python", 0, 0, 0, 2, 0, 0, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\positionLinearGraph.py", "Python", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectAllPositionsGraph.py", "Python", 0, 0, 0, 65, 1, 19, 85
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectAllPositionsPieGraph.py", "Python", 0, 0, 0, 50, 0, 16, 66
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\AddEmployee.vue", "vue", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\NewProject.vue", "vue", 0, 0, 7, 0, 0, -1, 6
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\TopBar.vue", "vue", 0, 0, 6, 0, 0, 2, 8
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\graphs\PositionLinearGraph.vue", "vue", 0, 0, 27, 0, 0, 0, 27
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\graphs\ProjectPositionLinearGraph.vue", "vue", 0, 0, 57, 0, 0, 9, 66
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\main.js", "JavaScript", 0, 2, 0, 0, 0, -1, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\plugins\index.js", "JavaScript", 0, -1, 0, 0, 0, 0, -1
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\router\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 6
"c:\Users\Daniel\Documents\quanto\quanto-project\package-lock.json", "JSON", 113, 0, 0, 0, 0, 0, 113
"c:\Users\Daniel\Documents\quanto\quanto-project\package.json", "JSON", 2, 0, 0, 0, 0, 0, 2
"Total", "-", 115, 7, 99, 211, 5, 52, 489
