"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable.py", "Python", -12, -3, -6, -21
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\__init__.py", "Python", 2, 0, 0, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\positionQuerys.py", "Python", 0, 0, 1, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\projectQuerys.py", "Python", 46, 4, 7, 57
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\urls.py", "Python", 2, 0, 2, 4
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\__init__.py", "Python", 1, 0, 0, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\__init__.py", "Python", 1, 0, -1, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTable.py", "Python", -16, 0, -7, -23
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableBooking.py", "Python", 28, 0, 8, 36
"Total", "-", 52, 1, 4, 57
