Date : 2023-12-22 13:55:46
Directory : c:\Users\Daniel\Documents\quanto\quanto-project
Total : 199 files,  31305 codes, 907 comments, 2101 blanks, all 34313 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| CSS                |          4 |     17,984 |          4 |        331 |     18,319 |
| JSON               |          5 |      4,613 |          0 |          4 |      4,617 |
| Python             |        112 |      3,932 |        765 |      1,009 |      5,706 |
| vue                |         35 |      2,310 |         11 |        404 |      2,725 |
| LaTeX              |          1 |      1,005 |          0 |        163 |      1,168 |
| SQL                |          3 |        503 |         45 |         54 |        602 |
| XML                |         10 |        367 |          0 |         10 |        377 |
| JavaScript         |         13 |        335 |         42 |         69 |        446 |
| Markdown           |          3 |         50 |          0 |         24 |         74 |
| Batch              |          2 |         40 |          0 |          7 |         47 |
| YAML               |          1 |         37 |          5 |          2 |         44 |
| pip requirements   |          1 |         32 |          0 |          0 |         32 |
| Ignore             |          1 |         28 |          5 |          2 |         35 |
| HTML               |          2 |         23 |          0 |          4 |         27 |
| Docker             |          2 |         20 |          9 |         11 |         40 |
| BibTeX             |          1 |         15 |          0 |          2 |         17 |
| JSON with Comments |          1 |          8 |         12 |          0 |         20 |
| Properties         |          1 |          3 |          0 |          3 |          6 |
| SCSS               |          1 |          0 |          9 |          2 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        199 |     31,305 |        907 |      2,101 |     34,313 |
| . (Files)                                                                                                                          |          6 |        485 |          5 |         11 |        501 |
| backend                                                                                                                            |        121 |      4,579 |        822 |      1,072 |      6,473 |
| backend (Files)                                                                                                                    |          6 |        151 |         15 |         14 |        180 |
| backend\project_management_tool                                                                                                    |        101 |      3,400 |        562 |        733 |      4,695 |
| backend\project_management_tool (Files)                                                                                            |          7 |        232 |         27 |         59 |        318 |
| backend\project_management_tool\middleware                                                                                         |         28 |        891 |        254 |        196 |      1,341 |
| backend\project_management_tool\middleware (Files)                                                                                 |          1 |          4 |          0 |          0 |          4 |
| backend\project_management_tool\middleware\generator                                                                               |          2 |         35 |         12 |         24 |         71 |
| backend\project_management_tool\middleware\sqlQuery                                                                                |         11 |        259 |         21 |         43 |        323 |
| backend\project_management_tool\middleware\sqlQuery (Files)                                                                        |          5 |        123 |         13 |         26 |        162 |
| backend\project_management_tool\middleware\sqlQuery\graph                                                                          |          3 |         88 |          4 |          9 |        101 |
| backend\project_management_tool\middleware\sqlQuery\timeTable                                                                      |          3 |         48 |          4 |          8 |         60 |
| backend\project_management_tool\middleware\time                                                                                    |          3 |         15 |          3 |          7 |         25 |
| backend\project_management_tool\middleware\validation                                                                              |         11 |        578 |        218 |        122 |        918 |
| backend\project_management_tool\migrations                                                                                         |          2 |        108 |          1 |          8 |        117 |
| backend\project_management_tool\templates                                                                                          |          1 |          9 |          0 |          0 |          9 |
