"filename", "language", "JSON with Comments", "vue", "YAML", "JavaScript", "Python", "comment", "blank", "total"
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\manage.py", "Python", 0, 0, 0, 0, 2, -2, 0, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\dateValidator.py", "Python", 0, 0, 0, 0, 11, -13, 2, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\positionQuerys.py", "Python", 0, 0, 0, 0, 21, 3, 3, 27
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\projectQuerys.py", "Python", 0, 0, 0, 0, 22, 0, 10, 32
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\dateBack.py", "Python", 0, 0, 0, 0, 7, 0, 4, 11
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\checkExistenceDb.py", "Python", 0, 0, 0, 0, 23, -27, 4, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\dateValidator.py", "Python", 0, 0, 0, 0, 22, -26, 4, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonContentValidation.py", "Python", 0, 0, 0, 0, 11, -13, 2, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonFormValidator.py", "Python", 0, 0, 0, 0, 77, -91, 14, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonValidation.py", "Python", 0, 0, 0, 0, 22, -26, 4, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\mailValidation.py", "Python", 0, 0, 0, 0, 10, -12, 2, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\models.py", "Python", 0, 0, 0, 0, 2, 0, 0, 2
